"Time (s)","Angular velocity (rad/s)","Acceleration (m/s^2)"
1.644615000E-1,2.448541791E-1,9.143395151E-1
6.620639167E-1,9.987484651E-1,6.817871181E-1
1.159665917E0,8.491027228E-1,7.800602002E-1
1.657268625E0,9.551658685E-1,1.405089657E0
2.154870625E0,1.240706689E0,1.592679364E0
2.652472917E0,1.078620221E0,8.497068489E-1
3.150074917E0,1.093403169E0,1.698734611E0
4.145278917E0,1.255771785E0,9.695046729E-1
4.642881125E0,1.156807921E0,9.228202467E-1
5.140483125E0,1.447615665E0,1.296609843E0
5.638084292E0,1.242741219E0,9.765049790E-1
6.135686292E0,1.230022305E0,1.601029048E0
6.633288250E0,1.451250975E0,1.805586773E0
7.130889250E0,1.273551418E0,1.147960669E0
7.628491417E0,1.091674637E0,1.678718728E0
8.126093417E0,1.227554726E0,1.226876468E0
8.623695542E0,1.256756106E0,1.161003858E0
9.121296542E0,1.151201615E0,1.042046410E0
9.618898417E0,1.542390600E0,1.645405640E0
1.011650042E1,1.443311540E0,1.205126881E0
1.061410212E1,1.555787675E0,1.854670609E0
1.111170412E1,1.442297703E0,1.314174349E0
1.160930487E1,1.392230445E0,1.223637458E0
1.210690687E1,1.557887443E0,2.012913079E0
1.260450787E1,1.832005925E0,2.461337722E0
1.310210987E1,1.450769052E0,1.298674361E0
1.359971042E1,1.839124699E0,2.329845885E0
1.409731142E1,1.625235340E0,1.789087392E0
1.459491354E1,1.634042200E0,1.802681910E0
1.559011567E1,1.844120215E0,1.946810666E0
1.608771767E1,1.905040401E0,3.475181350E0
1.658531879E1,1.536058331E0,2.865157097E0
1.708291979E1,2.343114731E0,2.874783536E0
1.758052104E1,2.108382335E0,3.691169411E0
1.807812204E1,2.568231650E0,3.711883016E0
1.857572267E1,1.873882547E0,3.628709011E0
1.907332367E1,2.213172881E0,4.775029179E0
1.957092425E1,2.383145642E0,4.221655341E0
2.006852525E1,2.527502437E0,4.384635708E0
2.056612637E1,2.729222728E0,5.171992373E0
2.106372637E1,2.610612930E0,4.506959886E0
2.156132779E1,3.022811295E0,6.388967104E0
2.205892879E1,2.671080885E0,5.680744542E0
2.255653017E1,3.127427996E0,6.976447682E0
2.305413017E1,2.987354960E0,5.240278374E0
2.355173062E1,2.992734877E0,6.258731184E0
2.404933062E1,3.300249594E0,6.725803411E0
2.454693167E1,3.576414445E0,7.918205023E0
2.504453167E1,3.815219704E0,9.779853372E0
2.554213188E1,3.658633953E0,9.276638865E0
2.603973287E1,3.564592285E0,6.073789144E0
2.653733250E1,3.407894004E0,1.007778597E1
2.703493250E1,4.584560725E0,1.407259684E1
2.753253250E1,4.437265057E0,1.365095683E1
2.803013250E1,4.844588640E0,1.517765284E1
2.902533254E1,4.395243179E0,1.149957676E1
2.952293137E1,1.879681854E0,4.377513910E0
3.002053137E1,4.848021482E-1,7.048126956E-1
