Country,co2_per_capita,Year
France,8.740552,1990
France,8.903264,1991
France,9.600755,1992
France,8.842668,1993
France,8.603079,1994
France,8.743783,1995
France,8.756853,1996
France,8.472388,1997
France,8.779165,1998
France,8.79468,1999
France,8.850708,2000
France,8.790875,2001
France,8.609719,2002
France,8.732781,2003
France,9.024612,2004
France,9.11677,2005
France,9.035421,2006
France,8.97296,2007
France,8.810095,2008
France,8.132346,2009
France,8.059444,2010
France,7.982516,2011
France,7.6033535,2012
France,7.366914,2013
France,6.834331,2014
France,6.620695,2015
France,6.7135315,2016
France,6.663334,2017
France,6.6359277,2018
France,6.4280267,2019
France,5.825687,2020
France,6.443828,2021
Germany,15.055098,1990
Germany,14.339513,1991
Germany,15.054388,1992
Germany,14.402038,1993
Germany,14.032526,1994
Germany,14.052915,1995
Germany,13.823994,1996
Germany,13.240545,1997
Germany,13.253637,1998
Germany,13.360557,1999
Germany,13.287919,2000
Germany,13.251405,2001
Germany,12.610019,2002
Germany,13.119942,2003
Germany,12.92933,2004
Germany,12.91943,2005
Germany,12.845033,2006
Germany,12.814942,2007
Germany,12.785815,2008
Germany,11.968656,2009
Germany,12.568238,2010
Germany,12.057848,2011
Germany,11.24783,2012
Germany,11.375242,2013
Germany,11.06965,2014
Germany,10.886179,2015
Germany,11.043499,2016
Germany,10.869604,2017
Germany,10.654931,2018
Germany,10.11905,2019
Germany,9.279812,2020
Germany,9.957127,2021
