t,x_acc,y_acc,z_acc,x_rot,y_rot,z_rot,move_type
0.001658208319,2.603236542,-0.0687071228,9.457632751,0.09853222966,0.0794056505,-1.539467812,1
0.01161020831,1.871558075,-0.6427633667,10.21939865,0.1286527514,-0.004559307825,-1.495044708,1
0.02156220836,1.897454224,-0.9964778137,10.0462088,0.1429744214,-0.08156248182,-1.50550139,1
0.03151420836,2.120041351,-0.3385958862,9.839937744,0.1152678579,-0.08866888285,-1.557104826,1
0.04146620835,2.452200623,-0.2561174011,9.470505981,0.05062308908,-0.08357931674,-1.636483073,1
0.05141820834,2.644999695,-0.252973938,9.318871307,-0.02291370928,-0.07431109995,-1.733466148,1
0.06137020834,2.877915344,-0.3791615295,9.25420578,-0.05809246376,-0.02947705612,-1.790135264,1
0.07132220833,2.912194061,-0.5149291992,9.393266602,-0.04812304303,0.02626112849,-1.834666491,1
0.08127420832,2.982248383,-0.5321434021,9.557924194,-0.03729702905,0.04365156963,-1.896900535,1
0.09122620831,3.131338348,-0.5536985779,9.53741684,-0.04850564525,0.02804372832,-1.958955884,1
0.1011782084,3.14406189,-0.6373745728,9.37126236,-0.06893954426,-0.004054820165,-2.015711784,1
0.1111302084,3.112028503,-0.7866142273,9.319470062,-0.08107544482,-0.0390066281,-2.075133562,1
0.1210822084,3.201692047,-1.034498749,9.461973724,-0.0497992821,-0.04949788377,-2.138930321,1
0.1310342083,3.197500763,-1.189276886,9.765392761,-0.01928073913,-0.0557433255,-2.193793535,1
0.1409862083,3.057691498,-1.295406189,9.817185059,-0.01355281286,-0.0561507903,-2.250199556,1
0.1509382083,2.949316864,-1.450483704,9.72812027,0.005302754231,-0.04451658949,-2.294759989,1
0.1608902083,2.815944214,-1.599423981,9.835596771,0.01288717054,-0.05381874368,-2.347604275,1
0.1708422083,2.720143433,-1.701511688,9.913434906,0.0254964605,-0.07071486861,-2.400001526,1
0.1807942084,2.626438293,-1.827848969,10.01193008,0.0489397347,-0.08882009983,-2.432815075,1
0.1907462084,2.428699493,-1.951192474,10.10009674,0.07043432444,-0.1185771376,-2.460635662,1
0.2006982084,2.340832214,-2.130220184,10.08692413,0.1004761159,-0.1440244466,-2.492466688,1
0.2106502083,2.303110657,-2.299817505,10.1604213,0.1170260161,-0.1827342212,-2.537083626,1
0.2206022083,2.319426727,-2.520758057,10.12090347,0.1148334369,-0.1844293177,-2.595087767,1
0.2305552083,2.370320892,-2.678979034,10.04216721,0.1084411517,-0.1653841138,-2.648771763,1
0.2405072083,2.270628204,-2.76370285,10.01267853,0.09770674258,-0.1656216681,-2.6874156,1
0.2504592083,2.055675201,-2.882256317,9.977801056,0.08926275373,-0.2063379288,-2.710082531,1
0.2604112083,1.8194664,-2.950813751,10.01103195,0.102525562,-0.2580991387,-2.733308792,1
0.2703632083,1.697320404,-3.021915894,10.09021729,0.1112334207,-0.3124551177,-2.755529642,1
0.2803152084,1.590292969,-3.118614807,10.05833359,0.09627551585,-0.352078706,-2.784038067,1
0.2902672084,1.453926544,-3.1744487,9.996212769,0.07050177455,-0.3527885973,-2.816096544,1
0.3002192084,1.294957123,-3.175346832,10.05234604,0.04432583228,-0.3531814218,-2.828364611,1
0.3101712083,1.089434509,-3.172203369,10.05384293,-0.01569501124,-0.3781976104,-2.832810879,1
0.3201232083,1.040635986,-3.21770874,9.959988098,-0.06059990451,-0.4458839595,-2.848045588,1
0.3300752083,1.191671906,-3.241808624,10.17254608,-0.0594237633,-0.5027758479,-2.88907361,1
0.3400272083,1.535357208,-3.304827576,10.72100555,-0.04200775176,-0.5248673558,-2.948156834,1
0.3499792083,1.861977997,-3.394491119,11.0030191,-0.04968259111,-0.4921785593,-3.018039465,1
0.3599312084,2.061063995,-3.477418671,11.0084079,-0.08300486207,-0.4423561394,-3.095969915,1
0.3698832084,2.149979095,-3.586691437,10.99583405,-0.1088908985,-0.3851970434,-3.170438528,1
0.379835125,2.180066528,-3.880680084,11.14881592,-0.09621611983,-0.3154067695,-3.208723545,1
0.389787125,2.048340454,-4.177512817,11.40164017,-0.06722938269,-0.2455038428,-3.220454216,1
0.399739125,1.855242004,-4.403692474,11.41391464,-0.0219870694,-0.2012780607,-3.204176426,1
0.409691125,1.690434723,-4.525239716,11.29745682,0.02712641843,-0.1934825778,-3.168891668,1
0.419643125,1.595681763,-4.588857422,11.02846619,0.04523458332,-0.2557685971,-3.133893728,1
