"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.108500037E-3,-3.249829835E-1,9.699460727E-1,-7.300769144E-1,1.256750423E0
1.305950002E-2,-2.494816884E-1,1.201871204E0,-9.208078265E-2,1.230940443E0
2.301050001E-2,-4.734367722E-1,1.047374902E0,-1.628449559E-2,1.149522400E0
3.296149999E-2,-5.596878809E-1,1.009390512E0,-6.711761570E-1,1.335139380E0
4.291349999E-2,-5.821949834E-1,1.142838884E0,-8.166081047E-1,1.520486932E0
5.286450009E-2,-3.928712037E-1,1.124897580E0,-6.371705049E-1,1.351195249E0
6.281550007E-2,-1.991471019E-1,1.053358066E0,-4.445450950E-1,1.160535706E0
7.276737504E-2,-2.237761590E-1,9.737643045E-1,-4.715118688E-1,1.104814977E0
8.271837502E-2,-3.197889018E-1,9.027960634E-1,-7.288098228E-1,1.203523756E0
9.266937501E-2,-3.938713700E-1,8.553991181E-1,-9.820433772E-1,1.360607034E0
1.026203750E-1,-4.036420673E-1,8.577888751E-1,-1.143176853E0,1.485120194E0
1.125713751E-1,-3.653770110E-1,8.555075839E-1,-1.336825526E0,1.628648542E0
1.225233751E-1,-3.430409396E-1,8.564501551E-1,-1.540138476E0,1.795330187E0
1.324743751E-1,-2.056658703E-1,8.892287689E-1,-1.736944061E0,1.962141923E0
1.424253751E-1,-5.326521099E-2,9.116338375E-1,-1.852680339E0,2.065511529E0
1.523763750E-1,-2.897353828E-2,9.171147251E-1,-1.883611525E0,2.095216281E0
1.623273750E-1,-6.615773678E-2,8.441347495E-1,-1.789012347E0,1.979268930E0
1.722783750E-1,-1.813104630E-2,6.843756616E-1,-1.617533977E0,1.756449529E0
1.822293750E-1,5.703403383E-2,5.836497706E-1,-1.521857741E0,1.630935597E0
1.921803750E-1,7.763348222E-2,5.166626063E-1,-1.526977564E0,1.613885896E0
2.021323751E-1,1.474024594E-1,4.811251299E-1,-1.634965696E0,1.710649498E0
2.120833751E-1,1.578561115E-1,4.955231676E-1,-1.994006957E0,2.060709952E0
2.220343751E-1,1.081574097E-1,5.248761901E-1,-2.253597019E0,2.316439631E0
2.319853751E-1,7.059635818E-2,5.172967368E-1,-2.415457889E0,2.471237862E0
2.419363750E-1,2.153564608E-1,4.709609149E-1,-2.384599208E0,2.440183594E0
2.518873750E-1,6.730370334E-1,2.278187777E-1,-2.173415905E0,2.286616920E0
2.618383750E-1,1.430046223E0,-3.102827910E-1,-2.015460976E0,2.490660666E0
2.717893750E-1,2.325663368E0,-9.910194379E-1,-1.996007874E0,3.221005597E0
2.817413750E-1,3.106409622E0,-1.606529810E0,-2.110346668E0,4.084639742E0
2.916923751E-1,3.353064181E0,-2.079314032E0,-2.526656728E0,4.685144658E0
3.016433751E-1,3.203700566E0,-2.611317686E0,-3.300380183E0,5.289157469E0
3.115943751E-1,3.090117525E0,-3.305408204E0,-4.025807977E0,6.056540232E0
3.215453750E-1,3.225024192E0,-4.171597189E0,-4.605119698E0,7.000723647E0
3.314963750E-1,3.595383030E0,-5.301002680E0,-4.960485983E0,8.101470838E0
3.414473750E-1,3.788343778E0,-6.548923631E0,-5.148609622E0,9.151400458E0
3.513983750E-1,3.583671642E0,-7.481072132E0,-5.365885139E0,9.879365668E0
3.613503750E-1,3.039927657E0,-8.251511207E0,-5.510607235E0,1.037763891E1
3.713013751E-1,2.258387643E0,-8.811911278E0,-5.550379996E0,1.065630392E1
3.812523751E-1,2.256151083E0,-9.287715003E0,-5.568919762E0,1.106185947E1
3.912033751E-1,3.805203055E0,-9.569693470E0,-5.371230079E0,1.161502113E1
4.011543751E-1,4.910799268E0,-8.648949963E0,-4.174138974E0,1.078627466E1
4.111053750E-1,1.187851920E0,-8.185476846E0,-3.098547748E0,8.832554643E0
